StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Participant Info,Confidence,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Satisfaction,Q23,Q24,Q25,Relevance,Q27,Q29,Q30,Q31,Q32,Q33,Q34,Q35
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Study ID,"When I first looked at this material, I had the impression that it would be easy for me.",This material was more difficult to understand than I would like for it to be.,"The introduction made clear what I was expected to learn, and I felt confident that I knew what I was supposed to learn from this lesson.",Many of the pages had so much information that it was hard to pick out and remember the important points.,"As I worked on the material presented, I was confident that I could learn the content.",The questions on this material were too difficult,"Having spent time on this lesson, my confidence grew that I would succeed in a test on the material.",I could not really understand quite a bit of the material in this lesson.,The good organization of the content helped me be confident that I would learn this material.,There was something interesting at the beginning of each chapter that got my attention.,These materials are eye-catching.,The quality of the writing helped to hold my attention.,This material is so abstract that it was hard to keep my attention on it.,The pages of the material look dry and unappealing.,The way the information is arranged on the pages helped keep my attention.,This material has things that stimulated my curiosity.,The amount of repetition in this material caused me to get bored sometimes.,I learned some things that were surprising or unexpected.,"The variety of reading passages, subheadings, illustrations, etc., helped keep my attention.",The style of writing is boring.,There are so many words on each page that it is irritating,Completing the questions on this material gave me a satisfying feeling of accomplishment.,I enjoyed the material so much that I would like to know more about this topic.,It felt good to successfully complete the material.,The well-constructed material made the learning process enjoyable.,The connection between the material's content and my prior knowledge is clear.,The material included narratives and visuals that illustrated its significance.,Completing this lesson successfully was important to me.,The content of this material is relevant to my interests.,The material provided practical examples of the knowledge application.,The content and style of writing in this lesson convey the impression that its content is worth knowing.,The material presented was mostly familiar to me.,"I could relate the content of this lesson to things I have seen, done, or thought about in my own life.",The content of this lesson will be useful to me.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}"
2024-04-15 03:42:23,2024-04-15 03:45:31,IP Address,91.230.41.206,100,187,True,2024-04-15 03:45:32,R_4r7EAwhyOnkHp2p,,,,,24.4542,54.406,anonymous,EN,1019,Neither true nor false,Probably false,Definitely true,Definitely false,Probably true,Neither true nor false,Definitely true,Definitely false,Probably true,Neither true nor false,Neither true nor false,Neither true nor false,Probably false,Neither true nor false,Probably false,Neither true nor false,Definitely false,Definitely false,Probably true,Neither true nor false,Probably false,Neither true nor false,Neither true nor false,Probably true,Probably true,Neither true nor false,Probably true,Probably true,Probably false,Definitely false,Probably true,Neither true nor false,Neither true nor false,Probably true
2024-04-15 04:37:33,2024-04-15 04:41:23,IP Address,91.230.41.207,100,229,True,2024-04-15 04:41:23,R_4v30XQksZ50BdEp,,,,,24.4542,54.406,anonymous,EN,1016,Definitely false,Probably true,Neither true nor false,Definitely true,Definitely true,Probably false,Probably true,Neither true nor false,Probably true,Neither true nor false,Probably true,Definitely true,Definitely true,Neither true nor false,Probably true,Probably false,Definitely false,Probably true,Probably true,Probably true,Probably true,Definitely true,Probably false,Probably true,Probably false,Probably true,Definitely true,Neither true nor false,Definitely false,Definitely true,Probably false,Definitely false,Definitely false,Neither true nor false
2024-04-16 06:35:03,2024-04-16 06:39:00,IP Address,91.230.41.206,100,237,True,2024-04-16 06:39:01,R_4nGg8PzBYoUEDjZ,,,,,24.4542,54.406,anonymous,EN,1000,Definitely false,Definitely true,Definitely true,Definitely true,Neither true nor false,Definitely true,Probably true,Definitely true,Probably true,Definitely false,Definitely true,Neither true nor false,Probably true,Probably false,Definitely true,Probably false,Definitely false,Probably false,Definitely true,Probably true,Definitely false,Definitely false,Definitely false,Neither true nor false,Neither true nor false,Probably true,Definitely true,Neither true nor false,Definitely false,Probably true,Probably true,Definitely false,Probably true,Probably false
2024-04-16 06:48:48,2024-04-16 06:54:42,IP Address,91.230.41.206,100,354,True,2024-04-16 06:54:43,R_4ESYg7B5KQVdbxM,,,,,24.4542,54.406,anonymous,EN,1014,Definitely false,Neither true nor false,Definitely true,Probably true,Probably true,Probably true,Probably true,Probably false,Neither true nor false,Probably true,Probably true,Probably false,Definitely false,Neither true nor false,Probably true,Neither true nor false,Probably false,Probably false,Probably true,Neither true nor false,Probably false,Neither true nor false,Probably false,Neither true nor false,Probably true,Probably true,Definitely true,Neither true nor false,Definitely false,Probably false,Probably true,Probably true,Probably true,Neither true nor false
2024-04-16 10:12:19,2024-04-16 10:27:04,IP Address,91.230.41.207,100,885,True,2024-04-16 10:27:05,R_4ItGFMIFWZQNG8E,,,,,24.4542,54.406,anonymous,EN,1007,Definitely true,Probably true,Probably true,Probably true,Definitely true,Probably true,Definitely true,Definitely false,Definitely true,Definitely true,Definitely true,Probably true,Probably true,Probably true,Probably false,Neither true nor false,Probably false,Probably true,Neither true nor false,Definitely true,Definitely true,Definitely false,Probably false,Probably true,Probably false,Probably true,Neither true nor false,Probably false,Probably false,Probably true,Probably true,Probably true,Definitely false,Probably true
2024-04-17 00:46:34,2024-04-17 00:49:21,IP Address,91.230.41.207,100,167,True,2024-04-17 00:49:22,R_42Sl9NfReEZ2rqm,,,,,24.4542,54.406,anonymous,EN,1005,Probably false,Probably true,Definitely true,Neither true nor false,Probably true,Definitely false,Neither true nor false,Probably false,Probably true,Probably true,Definitely true,Definitely true,Definitely false,Probably false,Definitely true,Definitely true,Definitely false,Probably true,Probably true,Probably false,Probably false,Probably true,Probably true,Probably true,Definitely true,Neither true nor false,Neither true nor false,Probably true,Definitely true,Probably false,Neither true nor false,Probably false,Definitely true,Definitely true
2024-04-17 01:02:12,2024-04-17 01:04:41,IP Address,91.230.41.206,100,148,True,2024-04-17 01:04:42,R_4bZrF9p4ptVDYdB,,,,,24.4542,54.406,anonymous,EN,1001,Definitely false,Definitely true,Probably true,Definitely true,Definitely false,Definitely true,Definitely false,Probably true,Probably false,Definitely false,Definitely false,Definitely false,Probably true,Probably true,Definitely false,Definitely false,Neither true nor false,Probably true,Probably false,Probably true,Probably true,Neither true nor false,Probably false,Probably false,Probably false,Probably false,Probably false,Neither true nor false,Neither true nor false,Probably true,Neither true nor false,Probably false,Probably false,Probably false
2024-04-17 03:40:05,2024-04-17 03:44:16,IP Address,91.230.41.206,100,250,True,2024-04-17 03:44:17,R_4JN8JT3NoPo49Vf,,,,,24.4542,54.406,anonymous,EN,1018,Definitely true,Neither true nor false,Definitely true,Definitely false,Definitely true,Definitely false,Probably true,Definitely false,Probably true,Neither true nor false,Neither true nor false,Probably false,Definitely false,Neither true nor false,Probably false,Definitely true,Definitely false,Neither true nor false,Definitely false,Neither true nor false,Probably false,Probably true,Neither true nor false,Definitely true,Probably false,Definitely true,Probably true,Definitely true,Definitely true,Probably true,Probably true,Definitely true,Definitely true,Neither true nor false
2024-04-17 04:26:33,2024-04-17 04:29:45,IP Address,91.230.41.207,100,191,True,2024-04-17 04:29:46,R_4usV1La6GMWbWm6,,,,,24.4542,54.406,anonymous,EN,1002,Probably true,Definitely true,Definitely true,Definitely true,Neither true nor false,Neither true nor false,Probably true,Probably false,Definitely true,Definitely true,Probably false,Neither true nor false,Probably false,Definitely false,Definitely false,Definitely false,Definitely true,Definitely false,Definitely true,Neither true nor false,Definitely true,Probably true,Definitely false,Probably true,Probably false,Definitely true,Probably true,Definitely true,Definitely false,Definitely false,Definitely true,Probably true,Neither true nor false,Definitely false
2024-04-18 00:56:58,2024-04-18 01:00:55,IP Address,216.165.95.84,100,237,True,2024-04-18 01:00:55,R_5szULt0nHlZuo5K,,,,,40.7359,-73.9904,anonymous,EN,1016,Probably false,Definitely false,Neither true nor false,Probably false,Probably true,Probably true,Probably false,Probably false,Probably true,Definitely false,Probably false,Probably true,Probably false,Definitely false,Definitely true,Definitely true,Probably false,Definitely true,Definitely true,Probably false,Definitely false,Definitely true,Definitely true,Definitely true,Definitely true,Neither true nor false,Neither true nor false,Probably true,Definitely false,Probably false,Neither true nor false,Probably false,Definitely false,Probably true
2024-04-18 06:18:00,2024-04-18 06:21:57,IP Address,91.230.41.207,100,237,True,2024-04-18 06:21:57,R_4IQMGx9sHB44m8e,,,,,24.4542,54.406,anonymous,EN,1002,Probably true,Definitely true,Definitely true,Probably true,Definitely true,Probably false,Probably true,Probably false,Definitely true,Definitely true,Definitely true,Definitely true,Probably false,Probably false,Definitely true,Definitely true,Definitely false,Definitely true,Definitely true,Definitely false,Definitely false,Definitely true,Definitely true,Definitely true,Definitely true,Neither true nor false,Definitely true,Definitely true,Probably true,Definitely true,Definitely true,Definitely true,Probably true,Probably true
2024-04-18 06:54:14,2024-04-18 06:58:21,IP Address,91.230.41.206,100,247,True,2024-04-18 06:58:22,R_4Csqml0NVdBFK6J,,,,,24.4542,54.406,anonymous,EN,1111,Probably true,Neither true nor false,Definitely true,Probably true,Probably true,Neither true nor false,Neither true nor false,Probably false,Probably true,Neither true nor false,Probably true,Probably true,Definitely false,Definitely false,Neither true nor false,Neither true nor false,Probably false,Probably true,Probably true,Neither true nor false,Definitely false,Probably true,Neither true nor false,Probably true,Probably true,Probably true,Probably true,Probably true,Probably true,Definitely true,Definitely true,Probably true,Neither true nor false,Neither true nor false
2024-04-18 08:05:57,2024-04-18 08:13:19,IP Address,91.230.41.207,100,442,True,2024-04-18 08:13:20,R_4TN6bXRQhVTF2Mi,,,,,24.4542,54.406,anonymous,EN,1105,Probably false,Probably true,Definitely true,Probably true,Probably true,Neither true nor false,Probably true,Probably false,Probably true,Neither true nor false,Probably true,Neither true nor false,Neither true nor false,Probably false,Probably true,Probably true,Definitely false,Definitely true,Probably true,Probably false,Neither true nor false,Probably true,Probably true,Probably true,Probably true,Neither true nor false,Probably true,Probably true,Neither true nor false,Probably true,Probably true,Definitely false,Probably false,Probably true
2024-04-18 08:39:59,2024-04-18 08:43:05,IP Address,91.230.41.207,100,186,True,2024-04-18 08:43:06,R_4dF2s6HdZt77Tz9,,,,,24.4542,54.406,anonymous,EN,1119,Probably true,Definitely true,Probably true,Definitely true,Probably false,Neither true nor false,Definitely false,Definitely true,Neither true nor false,Neither true nor false,Probably true,Probably false,Neither true nor false,Probably true,Probably false,Neither true nor false,Neither true nor false,Neither true nor false,Probably true,Probably true,Probably true,Probably false,Definitely false,Probably false,Definitely false,Neither true nor false,Definitely true,Neither true nor false,Definitely false,Probably true,Neither true nor false,Definitely false,Probably true,Probably false
2024-04-18 08:49:27,2024-04-18 08:54:40,IP Address,91.230.41.207,100,312,True,2024-04-18 08:54:41,R_4qmJ05rU19kmaIm,,,,,24.4542,54.406,anonymous,EN,1033,Neither true nor false,Probably false,Definitely true,Probably true,Probably true,Neither true nor false,Probably true,Probably false,Probably true,Probably true,Definitely true,Probably true,Definitely false,Definitely false,Definitely true,Definitely true,Probably false,Probably true,Definitely true,Definitely false,Neither true nor false,Probably true,Probably true,Probably true,Definitely true,Neither true nor false,Probably true,Probably true,Neither true nor false,Probably true,Probably true,Probably false,Neither true nor false,Definitely true
2024-04-19 00:42:13,2024-04-19 00:45:46,IP Address,91.230.41.206,100,213,True,2024-04-19 00:45:47,R_4mkhWySTf4F9O6N,,,,,24.4542,54.406,anonymous,EN,1017,Probably true,Probably false,Definitely true,Probably true,Probably true,Probably false,Probably true,Probably true,Probably true,Probably true,Probably true,Definitely true,Probably false,Probably false,Probably true,Probably true,Probably false,Neither true nor false,Probably true,Probably false,Probably false,Probably true,Probably true,Probably true,Probably true,Definitely true,Probably true,Probably true,Probably true,Probably true,Probably true,Probably true,Neither true nor false,Probably true
2024-04-19 01:43:39,2024-04-19 01:47:59,IP Address,91.230.41.206,100,260,True,2024-04-19 01:48:00,R_4t8MzhCCT3cWbJQ,,,,,24.4542,54.406,anonymous,EN,1011,Probably false,Neither true nor false,Definitely true,Probably true,Definitely true,Probably true,Definitely true,Neither true nor false,Definitely true,Neither true nor false,Probably true,Definitely true,Definitely false,Definitely false,Definitely true,Probably true,Probably false,Definitely true,Neither true nor false,Definitely false,Probably false,Probably true,Probably true,Probably true,Definitely true,Neither true nor false,Definitely true,Probably true,Probably false,Neither true nor false,Neither true nor false,Probably false,Definitely false,Probably false
2024-04-19 03:03:10,2024-04-19 03:08:18,IP Address,91.230.41.207,100,307,True,2024-04-19 03:08:18,R_4jeBU61AqHEvQnW,,,,,24.4542,54.406,anonymous,EN,1101,Definitely false,Probably false,Definitely true,Definitely false,Definitely true,Neither true nor false,Probably true,Definitely false,Probably true,Neither true nor false,Neither true nor false,Neither true nor false,Definitely false,Neither true nor false,Neither true nor false,Neither true nor false,Definitely false,Probably true,Neither true nor false,Probably true,Probably false,Probably false,Probably false,Definitely true,Definitely true,Definitely true,Neither true nor false,Neither true nor false,Definitely false,Probably true,Neither true nor false,Definitely false,Definitely false,Definitely true
2024-04-19 03:30:01,2024-04-19 03:33:43,IP Address,91.230.41.206,100,222,True,2024-04-19 03:33:44,R_41hp6eUtqBotyQj,,,,,24.4542,54.406,anonymous,EN,1006,Neither true nor false,Probably true,Probably true,Definitely false,Probably true,Definitely false,Neither true nor false,Neither true nor false,Probably true,Definitely false,Probably true,Probably true,Definitely false,Definitely false,Definitely true,Probably true,Definitely false,Definitely true,Definitely true,Definitely false,Definitely false,Neither true nor false,Probably true,Neither true nor false,Probably true,Probably true,Definitely true,Probably true,Probably true,Definitely true,Definitely true,Neither true nor false,Probably false,Probably true
2024-04-19 05:37:18,2024-04-19 05:39:46,IP Address,91.230.41.207,100,147,True,2024-04-19 05:39:47,R_1UWYeegAjqoqMLL,,,,,24.4542,54.406,anonymous,EN,1044,Probably true,Probably true,Probably true,Definitely false,Definitely true,Probably false,Probably true,Probably false,Definitely true,Probably true,Definitely true,Definitely true,Definitely false,Definitely false,Probably true,Probably true,Definitely false,Probably true,Probably true,Probably false,Definitely false,Probably true,Probably true,Probably true,Definitely true,Probably true,Probably true,Probably true,Probably true,Probably true,Probably true,Probably true,Probably true,Probably true
2024-04-19 05:52:23,2024-04-19 05:58:47,IP Address,91.230.41.206,100,384,True,2024-04-19 05:58:48,R_4WUeVTgkZLGTOyR,,,,,24.4542,54.406,anonymous,EN,1109,Probably false,Probably true,Definitely true,Neither true nor false,Probably true,Probably false,Definitely true,Probably true,Probably false,Probably false,Probably false,Probably false,Probably false,Probably false,Probably false,Probably true,Probably false,Probably false,Probably true,Probably true,Probably false,Probably true,Probably true,Probably true,Neither true nor false,Definitely true,Neither true nor false,Probably false,Probably true,Probably false,Probably false,Probably true,Probably true,Probably true
2024-04-19 06:42:11,2024-04-19 06:46:44,IP Address,5.195.74.110,100,272,True,2024-04-19 06:46:45,R_4fIf4aCxp7U6WCN,,,,,25.0731,55.298,anonymous,EN,1103,Definitely false,Definitely true,Probably true,Probably true,Neither true nor false,Probably true,Probably true,Definitely true,Neither true nor false,Definitely false,Definitely false,Neither true nor false,Probably true,Probably true,Probably true,Definitely true,Probably true,Definitely true,Neither true nor false,Probably true,Definitely true,Definitely false,Probably false,Probably true,Neither true nor false,Neither true nor false,Definitely true,Probably true,Probably false,Definitely false,Neither true nor false,Definitely false,Probably false,Probably true
2024-04-20 03:44:17,2024-04-20 03:46:38,IP Address,5.195.74.110,100,141,True,2024-04-20 03:46:39,R_4f1GzEtRMI9q0EK,,,,,25.0731,55.298,anonymous,EN,1150,Definitely true,Neither true nor false,Definitely true,Neither true nor false,Probably true,Neither true nor false,Probably true,Probably false,Definitely true,Definitely true,Definitely true,Probably true,Neither true nor false,Probably true,Probably false,Probably true,Definitely false,Definitely true,Definitely true,Probably false,Probably true,Definitely true,Probably true,Definitely true,Probably true,Definitely true,Probably true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true
2024-04-20 04:41:17,2024-04-20 04:44:04,IP Address,91.230.41.206,100,166,True,2024-04-20 04:44:04,R_4QfYMw8Hr5JD6I1,,,,,24.4542,54.406,anonymous,EN,1007,Probably false,Probably true,Probably true,Definitely true,Neither true nor false,Probably true,Neither true nor false,Probably false,Probably true,Probably true,Neither true nor false,Probably true,Probably false,Neither true nor false,Neither true nor false,Neither true nor false,Probably true,Probably true,Neither true nor false,Neither true nor false,Probably false,Probably true,Neither true nor false,Probably true,Neither true nor false,Neither true nor false,Probably true,Neither true nor false,Probably true,Probably false,Neither true nor false,Probably false,Probably false,Probably true
2024-04-20 06:29:28,2024-04-20 06:33:14,IP Address,216.165.95.86,100,226,True,2024-04-20 06:33:14,R_3vk8kGwOi7iSiYy,,,,,40.7359,-73.9904,anonymous,EN,1015,Definitely false,Neither true nor false,Probably true,Definitely true,Probably false,Definitely true,Probably false,Neither true nor false,Neither true nor false,Probably false,Probably false,Neither true nor false,Probably false,Probably false,Neither true nor false,Probably false,Probably false,Probably false,Probably false,Neither true nor false,Probably false,Probably false,Definitely false,Probably false,Probably false,Probably true,Probably true,Neither true nor false,Probably false,Probably false,Probably true,Probably true,Probably true,Probably true
2024-04-20 07:23:05,2024-04-20 07:26:04,IP Address,5.195.74.110,100,179,True,2024-04-20 07:26:05,R_4GqfYT0h5REy6zG,,,,,25.0731,55.298,anonymous,EN,1053,Definitely false,Definitely true,Definitely true,Neither true nor false,Neither true nor false,Probably false,Probably true,Definitely false,Definitely true,Definitely true,Probably true,Probably false,Probably true,Probably true,Probably true,Definitely true,Definitely true,Definitely true,Neither true nor false,Neither true nor false,Probably false,Neither true nor false,Probably false,Probably true,Probably true,Probably true,Probably true,Probably true,Definitely false,Definitely true,Neither true nor false,Definitely false,Probably true,Probably true
2024-04-22 03:39:18,2024-04-22 03:43:41,IP Address,91.230.41.207,100,262,True,2024-04-22 03:43:41,R_4kp6ZLbcoGkFpWV,,,,,24.4542,54.406,anonymous,EN,1154,Definitely true,Definitely false,Definitely true,Neither true nor false,Definitely true,Probably true,Definitely true,Definitely false,Probably true,Definitely false,Definitely true,Neither true nor false,Definitely false,Definitely true,Definitely true,Probably true,Probably true,Definitely false,Definitely false,Probably true,Definitely true,Probably true,Probably false,Probably false,Probably false,Probably true,Definitely false,Probably true,Definitely true,Definitely false,Probably false,Probably true,Probably true,Definitely true
2024-04-22 03:40:31,2024-04-22 03:45:16,IP Address,91.230.41.206,100,285,True,2024-04-22 03:45:17,R_4kvW1tj1e2IiGAN,,,,,24.4542,54.406,anonymous,EN,1054,Probably false,Neither true nor false,Probably false,Definitely false,Probably true,Probably true,Probably true,Probably false,Neither true nor false,Neither true nor false,Neither true nor false,Neither true nor false,Probably false,Probably false,Neither true nor false,Probably true,Neither true nor false,Neither true nor false,Neither true nor false,Neither true nor false,Probably false,Neither true nor false,Neither true nor false,Neither true nor false,Neither true nor false,Probably true,Probably true,Probably false,Neither true nor false,Probably false,Neither true nor false,Probably false,Neither true nor false,Probably false
2024-04-22 04:40:34,2024-04-22 04:43:37,IP Address,5.195.74.110,100,183,True,2024-04-22 04:43:37,R_4eaEtV05FXaHgMa,,,,,25.0731,55.298,anonymous,EN,1155,Probably false,Probably true,Definitely true,Probably false,Probably false,Probably false,Definitely false,Probably true,Probably false,Probably false,Probably true,Probably false,Probably false,Probably true,Neither true nor false,Probably false,Probably false,Probably false,Probably true,Probably true,Definitely false,Probably false,Definitely false,Probably false,Neither true nor false,Probably false,Definitely true,Neither true nor false,Definitely false,Neither true nor false,Probably true,Definitely false,Probably false,Neither true nor false
2024-04-23 06:38:36,2024-04-23 06:42:47,IP Address,5.195.74.110,100,250,True,2024-04-23 06:42:47,R_4QWMPgzckqNQxYR,,,,,25.0731,55.298,anonymous,EN,1187,Definitely false,Probably true,Probably true,Definitely true,Probably false,Probably true,Probably false,Probably true,Neither true nor false,Probably true,Neither true nor false,Probably false,Probably true,Definitely true,Probably false,Probably true,Definitely true,Neither true nor false,Probably false,Probably true,Neither true nor false,Probably false,Neither true nor false,Probably false,Probably false,Probably false,Probably true,Probably false,Definitely false,Probably true,Probably true,Definitely false,Probably true,Neither true nor false
2024-04-23 07:27:30,2024-04-23 07:31:41,IP Address,216.165.95.84,100,250,True,2024-04-23 07:31:41,R_7B8KD433ncax8T2,,,,,40.7359,-73.9904,anonymous,EN,1157,Probably true,Definitely false,Definitely true,Probably false,Probably true,Definitely false,Definitely true,Probably true,Probably true,Probably true,Probably true,Probably true,Probably false,Definitely false,Probably true,Probably true,Definitely false,Probably true,Probably true,Probably false,Probably false,Probably true,Probably true,Probably true,Probably true,Probably true,Probably true,Definitely true,Probably true,Definitely true,Probably true,Definitely true,Definitely true,Definitely true
2024-04-23 08:00:41,2024-04-23 08:03:44,IP Address,5.195.74.110,100,183,True,2024-04-23 08:03:45,R_4M3D2tKQ7xm6cKb,,,,,25.0731,55.298,anonymous,EN,1162,Probably true,Probably true,Probably true,Definitely true,Probably false,Probably false,Probably true,Probably false,Probably true,Probably true,Probably false,Probably false,Probably false,Definitely false,Probably true,Probably true,Probably false,Probably true,Definitely false,Definitely false,Probably false,Probably true,Probably false,Probably true,Probably true,Probably false,Definitely false,Probably true,Probably true,Definitely false,Probably false,Definitely true,Probably true,Probably true
2024-04-24 00:34:27,2024-04-24 00:38:05,IP Address,5.195.74.110,100,217,True,2024-04-24 00:38:06,R_4FJLZ3FwYW8xoR3,,,,,25.0731,55.298,anonymous,EN,1060,Neither true nor false,Probably true,Definitely true,Probably true,Probably true,Probably true,Probably true,Probably false,Probably true,Neither true nor false,Neither true nor false,Neither true nor false,Probably true,Probably true,Probably true,Probably true,Probably false,Neither true nor false,Probably true,Neither true nor false,Probably true,Neither true nor false,Probably true,Probably true,Neither true nor false,Probably true,Definitely true,Neither true nor false,Probably true,Probably true,Neither true nor false,Probably true,Probably true,Neither true nor false
2024-04-24 03:45:38,2024-04-24 03:49:34,IP Address,5.195.74.110,100,235,True,2024-04-24 03:49:35,R_410xU8grrtI4WMc,,,,,25.0731,55.298,anonymous,EN,1158,Probably true,Neither true nor false,Definitely true,Neither true nor false,Definitely true,Probably false,Definitely true,Definitely false,Definitely false,Neither true nor false,Probably false,Probably true,Probably false,Neither true nor false,Probably false,Probably false,Neither true nor false,Probably false,Definitely false,Neither true nor false,Definitely false,Neither true nor false,Neither true nor false,Neither true nor false,Neither true nor false,Probably true,Probably true,Probably true,Neither true nor false,Neither true nor false,Neither true nor false,Neither true nor false,Probably true,Neither true nor false
2024-04-24 06:01:16,2024-04-24 06:04:00,IP Address,91.230.41.206,100,164,True,2024-04-24 06:04:01,R_4DMRrgIWsG8vFzA,,,,,24.4542,54.406,anonymous,EN,1066,Neither true nor false,Probably true,Probably false,Probably true,Probably true,Probably true,Definitely true,Probably true,Probably true,Probably false,Probably false,Probably false,Neither true nor false,Probably true,Probably true,Probably true,Neither true nor false,Probably true,Probably true,Probably true,Neither true nor false,Probably true,Neither true nor false,Probably true,Neither true nor false,Neither true nor false,Probably true,Probably true,Definitely true,Probably true,Neither true nor false,Neither true nor false,Probably true,Definitely true
2024-04-24 06:23:38,2024-04-24 06:27:16,IP Address,216.165.95.84,100,217,True,2024-04-24 06:27:16,R_5egc5DiVou13NLM,,,,,40.7359,-73.9904,anonymous,EN,1166,Neither true nor false,Probably true,Definitely true,Probably false,Probably true,Probably true,Probably true,Definitely false,Probably true,Definitely true,Definitely true,Neither true nor false,Probably false,Definitely false,Probably true,Neither true nor false,Probably false,Definitely true,Probably true,Neither true nor false,Probably true,Probably true,Probably true,Definitely true,Definitely true,Probably false,Definitely true,Neither true nor false,Probably false,Definitely true,Definitely true,Probably false,Definitely true,Neither true nor false
